# n gamma re_zetaprime im_zetaprime
432 722.277504976 2.947966286597e+00 1.817831490905e+00
433 723.845821045 3.517720543936e+00 -9.555332243312e-02
434 724.562613890 7.240863994092e-01 4.552285515379e+00
435 727.056403230 1.250530585398e+00 -6.062109391711e+00
436 728.405481589 1.661994784315e-01 -1.182979172413e+00
437 728.758749796 7.587043363519e-01 9.007608463763e-01
438 730.416482123 3.278533557803e+00 2.346757576404e-01
439 731.417354919 2.622957852244e+00 2.883990368104e+00
440 732.818052714 5.746765807024e+00 4.297068076871e+00
441 734.789643252 3.361403511065e+00 -4.315992535575e+00
442 735.765459209 4.088083920442e+00 -3.734868958201e-01
443 737.052928912 4.789507493626e+00 -7.763683030626e-02
444 738.580421171 3.567080790653e+00 -2.016361956838e+00
445 739.909523674 1.746616425107e+00 -1.050095218005e+00
446 740.573807447 1.102682048817e+00 1.780349876196e+00
447 741.757335573 1.323924936794e+00 5.508650548902e+00
448 743.895013142 7.015847894407e+00 -5.057525222183e+00
449 745.344989551 2.692045404496e+00 -3.723595614710e+00
450 746.499305899 2.447138932710e+00 -1.534793971634e+00
451 747.674563624 1.686721780315e+00 -3.886087392056e-01
452 748.242754465 3.074826647661e-02 2.282432772601e+00
453 750.655950362 8.990632497278e-01 -1.644109293381e+00
454 750.966381067 4.483456981547e-01 1.816165627973e+00
455 752.887621567 7.279784447575e+00 -9.219529043328e-01
456 754.322370472 5.604408845414e+00 -2.492345782879e+00
457 755.839308976 2.112650114874e+00 -2.712741977436e+00
458 756.768248440 2.748765293420e+00 2.032910055945e-02
459 758.101729246 2.468659645197e+00 -1.138168014533e-01
460 758.900238225 1.149229273139e+00 2.803064529995e+00
461 760.282366984 4.252004972408e+00 6.765759059183e+00
462 762.700033250 -3.503651630821e-01 -4.532031990772e+00
463 763.593066173 1.691823211092e+00 -1.284656171713e+00
464 764.307522724 1.873690727750e+00 1.843315300216e+00
465 766.087540100 3.916542790575e+00 -1.452912343416e+00
466 767.218472156 3.323930728209e+00 2.323006520209e-01
467 768.281461807 3.236057739062e+00 2.497146430225e+00
468 769.693407253 5.631715669463e+00 2.414743276860e+00
469 771.070839314 7.762953023786e+00 1.855476947332e+00
470 772.961617566 2.019333312907e+00 -4.794663378624e+00
471 774.117744628 1.740346649862e+00 -1.838676463162e+00
472 775.047847097 2.018113122313e+00 1.816395617799e-01
473 775.999711963 1.685745689156e+00 2.305401457001e+00
474 777.299748530 3.505102458158e+00 4.899481880343e+00
475 779.157076949 6.675467018895e+00 -2.697006543316e+00
476 780.348925004 6.154157090726e+00 -7.132452203768e-01
477 782.137664391 6.122558799632e-01 -2.101822680566e+00
478 782.597943946 1.536633044904e+00 1.414262373391e+00
479 784.288822612 4.532380901489e+00 -8.923349091814e-01
480 785.739089701 2.118670931474e+00 -1.309539462659e+00
481 786.461147451 1.541704681526e+00 1.735595839148e+00
482 787.468463816 9.659486494174e-02 5.507859075321e+00
483 790.059092364 2.989082955079e-02 -5.042625289949e+00
484 790.831620468 3.322602852098e+00 -9.942375708669e-01
485 792.427707609 8.663385021365e-01 -1.375334283673e+00
