q=7; quadratic characters mod irreducible Q of degree d; detector D(n)=sum_{deg f<=n} mu(f)chi(f) q^{-deg f/2}
Weil RH holds for all rows.  A = main term 1/L(q^{-1/2},chi); amp = sum |B_j| over unit-circle poles;
min/max over 50<=n<=20000; neg = number of n in that range with D(n)<0
  d Q(low->high)   L(u,chi) coeffs          |alpha_j| (sqrt q=2.6458)          A       amp     min D     max D    neg
  3 3021           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 3041           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 3141           [1, -1, 7]               [2.645751, 2.645751]          0.6165    0.7996   -0.1831    1.4161   4384
  3 3151           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 3221           [1, -1, 7]               [2.645751, 2.645751]          0.6165    0.7996   -0.1831    1.4161   4384
  3 3261           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 3321           [1, -3, 7]               [2.645751, 2.645751]          1.1546    1.3044   -0.1498    2.4590   3074
  3 3331           [1, -1, 7]               [2.645751, 2.645751]          0.6165    0.7996   -0.1831    1.4161   4384
  3 3341           [1, 5, 7]                [2.645751, 2.645751]          0.2571    1.5490   -1.2919    1.8061   8917
  3 3411           [1, -1, 7]               [2.645751, 2.645751]          0.6165    0.7996   -0.1831    1.4161   4384
  3 3431           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 3511           [1, 5, 7]                [2.645751, 2.645751]          0.2571    1.5490   -1.2919    1.8061   8917
  3 3541           [1, -3, 7]               [2.645751, 2.645751]          1.1546    1.3044   -0.1498    2.4590   3074
  3 3561           [1, -1, 7]               [2.645751, 2.645751]          0.6165    0.7996   -0.1831    1.4161   4384
  3 3611           [1, -3, 7]               [2.645751, 2.645751]          1.1546    1.3044   -0.1498    2.4590   3074
  3 3621           [1, 5, 7]                [2.645751, 2.645751]          0.2571    1.5490   -1.2919    1.8061   8917
  3 3651           [1, -1, 7]               [2.645751, 2.645751]          0.6165    0.7996   -0.1831    1.4161   4384
  3 4001           [1, 5, 7]                [2.645751, 2.645751]          0.2571    1.5490   -1.2919    1.8061   8917
  3 4031           [1, -3, 7]               [2.645751, 2.645751]          1.1546    1.3044   -0.1498    2.4590   3074
  3 4051           [1, -3, 7]               [2.645751, 2.645751]          1.1546    1.3044   -0.1498    2.4590   3074
  3 4061           [1, -3, 7]               [2.645751, 2.645751]          1.1546    1.3044   -0.1498    2.4590   3074
  3 4121           [1, -3, 7]               [2.645751, 2.645751]          1.1546    1.3044   -0.1498    2.4590   3074
  3 4131           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 4211           [1, -3, 7]               [2.645751, 2.645751]          1.1546    1.3044   -0.1498    2.4590   3074
  3 4251           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 4331           [1, -5, 7]               [2.645751, 2.645751]          9.0763    9.2039   -0.1276   18.2801   1059
  3 4341           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 4351           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 4441           [1, -3, 7]               [2.645751, 2.645751]          1.1546    1.3044   -0.1498    2.4590   3074
  3 4461           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 4511           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 4531           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 4561           [1, -5, 7]               [2.645751, 2.645751]          9.0763    9.2039   -0.1276   18.2801   1059
  3 4621           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 4651           [1, -5, 7]               [2.645751, 2.645751]          9.0763    9.2039   -0.1276   18.2801   1059
  3 4661           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 5001           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 5111           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 5161           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 5231           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 5241           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 5301           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 5311           [1, -1, 7]               [2.645751, 2.645751]          0.6165    0.7996   -0.1831    1.4161   4384
  3 5321           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 5331           [1, 5, 7]                [2.645751, 2.645751]          0.2571    1.5490   -1.2919    1.8061   8917
  3 5421           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 5451           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 5501           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 5521           [1, -1, 7]               [2.645751, 2.645751]          0.6165    0.7996   -0.1831    1.4161   4384
  3 5541           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 5561           [1, 5, 7]                [2.645751, 2.645751]          0.2571    1.5490   -1.2919    1.8061   8917
  3 5601           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 5611           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 5641           [1, -1, 7]               [2.645751, 2.645751]          0.6165    0.7996   -0.1831    1.4161   4384
  3 5651           [1, 5, 7]                [2.645751, 2.645751]          0.2571    1.5490   -1.2919    1.8061   8917
  3 6031           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 6051           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 6061           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 6101           [1, -3, 7]               [2.645751, 2.645751]          1.1546    1.3044   -0.1498    2.4590   3074
  3 6121           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 6141           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 6201           [1, -3, 7]               [2.645751, 2.645751]          1.1546    1.3044   -0.1498    2.4590   3074
  3 6211           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 6221           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 6331           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 6361           [1, -1, 7]               [2.645751, 2.645751]          0.6165    0.7996   -0.1831    1.4161   4384
  3 6401           [1, -3, 7]               [2.645751, 2.645751]          1.1546    1.3044   -0.1498    2.4590   3074
  3 6411           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 6441           [1, 3, 7]                [2.645751, 2.645751]          0.3191    0.6857   -0.3666    1.0048   6902
  3 6551           [1, -1, 7]               [2.645751, 2.645751]          0.6165    0.7996   -0.1831    1.4161   4384
  3 6561           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591
  3 6631           [1, -1, 7]               [2.645751, 2.645751]          0.6165    0.7996   -0.1831    1.4161   4384
  3 6651           [1, 1, 7]                [2.645751, 2.645751]          0.4205    0.6604   -0.2399    1.0809   5591

characters: 133 ; detector negative infinitely often (observed) : 112 ; eventually nonnegative (observed): 21
